npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:3001
 HTTP  3/15/2026 3:02:53 PM ::1 GET /
 HTTP  3/15/2026 3:02:53 PM ::1 Returned 200 in 18 ms
 HTTP  3/15/2026 3:04:40 PM 127.0.0.1 GET /filemanager
 HTTP  3/15/2026 3:04:40 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  3/15/2026 3:04:40 PM 127.0.0.1 GET /static/js/main.cbbc2ee9.js
 HTTP  3/15/2026 3:04:40 PM 127.0.0.1 GET /static/css/main.e6c13ad2.css
 HTTP  3/15/2026 3:04:40 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  3/15/2026 3:04:40 PM 127.0.0.1 Returned 200 in 9 ms
 HTTP  3/15/2026 3:04:40 PM 127.0.0.1 GET /lobster-logo.svg
 HTTP  3/15/2026 3:04:40 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  3/15/2026 3:04:49 PM 127.0.0.1 GET /filemanager
 HTTP  3/15/2026 3:04:49 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  3/15/2026 3:04:49 PM 127.0.0.1 GET /static/css/main.e6c13ad2.css
 HTTP  3/15/2026 3:04:49 PM 127.0.0.1 GET /static/js/main.cbbc2ee9.js
 HTTP  3/15/2026 3:04:49 PM 127.0.0.1 Returned 304 in 1 ms
 HTTP  3/15/2026 3:04:49 PM 127.0.0.1 Returned 304 in 2 ms
 HTTP  3/15/2026 3:04:49 PM 127.0.0.1 GET /lobster-logo.svg
 HTTP  3/15/2026 3:04:49 PM 127.0.0.1 Returned 304 in 2 ms
 HTTP  3/15/2026 3:05:01 PM 127.0.0.1 GET /lobster-logo.svg
 HTTP  3/15/2026 3:05:01 PM 127.0.0.1 Returned 304 in 1 ms
 HTTP  3/15/2026 3:05:02 PM 127.0.0.1 GET /training
 HTTP  3/15/2026 3:05:02 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 3:05:03 PM 127.0.0.1 GET /static/css/main.e6c13ad2.css
 HTTP  3/15/2026 3:05:03 PM 127.0.0.1 Returned 304 in 1 ms
 HTTP  3/15/2026 3:05:03 PM 127.0.0.1 GET /static/js/main.cbbc2ee9.js
 HTTP  3/15/2026 3:05:03 PM 127.0.0.1 Returned 304 in 0 ms
 HTTP  3/15/2026 3:05:03 PM 127.0.0.1 GET /lobster-logo.svg
 HTTP  3/15/2026 3:05:03 PM 127.0.0.1 Returned 304 in 1 ms
 HTTP  3/15/2026 3:11:31 PM 127.0.0.1 GET /
 HTTP  3/15/2026 3:11:31 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 3:13:16 PM 127.0.0.1 GET /
 HTTP  3/15/2026 3:13:16 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 3:17:37 PM 127.0.0.1 GET /
 HTTP  3/15/2026 3:17:37 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 3:24:50 PM 127.0.0.1 GET /
 HTTP  3/15/2026 3:24:50 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 3:24:52 PM 127.0.0.1 GET /manage/account/login
 HTTP  3/15/2026 3:24:52 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 3:24:55 PM 127.0.0.1 GET /admin/index.html
 HTTP  3/15/2026 3:24:55 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  3/15/2026 3:24:58 PM 127.0.0.1 GET /admin/index
 HTTP  3/15/2026 3:24:58 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  3/15/2026 3:25:03 PM 127.0.0.1 GET /admin
 HTTP  3/15/2026 3:25:03 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 3:53:26 PM 127.0.0.1 GET /
 HTTP  3/15/2026 3:53:26 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 3:53:26 PM 127.0.0.1 GET /
 HTTP  3/15/2026 3:53:26 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 3:53:26 PM 127.0.0.1 GET /static/js/main.cbbc2ee9.js
 HTTP  3/15/2026 3:53:26 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  3/15/2026 3:53:30 PM 127.0.0.1 GET /favicon.ico
 HTTP  3/15/2026 3:53:30 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  3/15/2026 3:53:35 PM 127.0.0.1 GET /
 HTTP  3/15/2026 3:53:35 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 3:53:35 PM 127.0.0.1 GET /
 HTTP  3/15/2026 3:53:35 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 3:53:35 PM 127.0.0.1 GET /static/js/main.cbbc2ee9.js
 HTTP  3/15/2026 3:53:35 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 3:53:39 PM 127.0.0.1 GET /favicon.ico
 HTTP  3/15/2026 3:53:39 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 3:55:27 PM 127.0.0.1 GET /autodiscover/autodiscover.json?@zdi/Powershell
 HTTP  3/15/2026 3:55:27 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 3:56:42 PM 127.0.0.1 GET /
 HTTP  3/15/2026 3:56:42 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 3:56:42 PM 127.0.0.1 GET /favicon.ico
 HTTP  3/15/2026 3:56:42 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 4:37:19 PM 127.0.0.1 GET /
 HTTP  3/15/2026 4:37:19 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 4:41:20 PM 127.0.0.1 POST /hello.world?%ADd+allow_url_include%3d1+%ADd+auto_prepend_file%3dphp://input
 HTTP  3/15/2026 4:41:20 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 4:41:20 PM 127.0.0.1 POST /?%ADd+allow_url_include%3d1+%ADd+auto_prepend_file%3dphp://input
 HTTP  3/15/2026 4:41:20 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  3/15/2026 4:41:21 PM 127.0.0.1 GET /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 4:41:21 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 4:41:21 PM 127.0.0.1 GET /vendor/phpunit/phpunit/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 4:41:21 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 4:41:21 PM 127.0.0.1 GET /vendor/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 4:41:21 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 4:41:22 PM 127.0.0.1 GET /vendor/phpunit/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 4:41:22 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  3/15/2026 4:41:22 PM 127.0.0.1 GET /vendor/phpunit/phpunit/LICENSE/eval-stdin.php
 HTTP  3/15/2026 4:41:22 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 4:41:22 PM 127.0.0.1 GET /vendor/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 4:41:22 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 4:41:23 PM 127.0.0.1 GET /phpunit/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 4:41:23 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 4:41:25 PM 127.0.0.1 GET /phpunit/phpunit/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 4:41:25 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 4:41:25 PM 127.0.0.1 GET /phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 4:41:25 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 4:41:25 PM 127.0.0.1 GET /phpunit/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 4:41:25 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  3/15/2026 4:41:26 PM 127.0.0.1 GET /lib/phpunit/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 4:41:26 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  3/15/2026 4:41:26 PM 127.0.0.1 GET /lib/phpunit/phpunit/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 4:41:26 PM 127.0.0.1 Returned 200 in 0 ms
 HTTP  3/15/2026 4:41:27 PM 127.0.0.1 GET /lib/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 4:41:27 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 4:41:28 PM 127.0.0.1 GET /lib/phpunit/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 4:41:28 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 4:41:28 PM 127.0.0.1 GET /lib/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 4:41:28 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 4:41:28 PM 127.0.0.1 GET /laravel/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 4:41:28 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 4:41:29 PM 127.0.0.1 GET /www/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 4:41:29 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 4:41:29 PM 127.0.0.1 GET /ws/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 4:41:29 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 4:41:30 PM 127.0.0.1 GET /yii/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 4:41:30 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 4:41:31 PM 127.0.0.1 GET /zend/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 4:41:31 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 4:41:31 PM 127.0.0.1 GET /ws/ec/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 4:41:31 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 4:41:33 PM 127.0.0.1 GET /V2/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  3/15/2026 4:41:33 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/15/2026 4:41:35 PM 127.0.0.1 GET /tests/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
